dt (s),tempo_final (s),v_final_num (m/s),v_final_analitico (m/s),erro_relativo
0.3860,2.7020,-264.1772,1085.4462,1.2434
0.3870,2.7090,-266.3104,1100.8184,1.2419
0.3880,2.7160,-268.4580,1116.4074,1.2405
0.3890,2.7230,-270.6202,1132.2162,1.2390
0.3900,2.7300,-272.7970,1148.2479,1.2376
0.3910,2.7370,-274.9886,1164.5055,1.2361
0.3920,2.7440,-277.1949,1180.9924,1.2347
0.3930,2.7510,-279.4162,1197.7118,1.2333
0.3940,2.7580,-281.6524,1214.6668,1.2319
0.3950,2.7650,-283.9037,1231.8609,1.2305
0.3960,2.7720,-286.1701,1249.2974,1.2291
0.3970,2.7790,-288.4517,1266.9797,1.2277
0.3980,2.7860,-290.7487,1284.9113,1.2263
0.3990,2.7930,-293.0611,1303.0957,1.2249
0.4000,2.8000,-295.3889,1321.5365,1.2235
0.4010,2.8070,-297.7323,1340.2373,1.2221
0.4020,2.8140,-300.0914,1359.2017,1.2208
0.4030,2.8210,-302.4662,1378.4335,1.2194
0.4040,2.8280,-304.8569,1397.9365,1.2181
0.4050,2.8350,-307.2635,1417.7144,1.2167
0.4060,2.8420,-309.6861,1437.7711,1.2154
0.4070,2.8490,-312.1247,1458.1106,1.2141
0.4080,2.8560,-314.5796,1478.7369,1.2127
0.4090,2.8630,-317.0507,1499.6540,1.2114
0.4100,2.8700,-319.5382,1520.8659,1.2101
0.4110,2.8770,-322.0422,1542.3770,1.2088
0.4120,2.8840,-324.5627,1564.1912,1.2075
0.4130,2.8910,-327.0998,1586.3131,1.2062
0.4140,2.8980,-329.6537,1608.7468,1.2049
0.4150,2.9050,-332.2244,1631.4968,1.2036
0.4160,2.9120,-334.8120,1654.5676,1.2024
0.4170,2.9190,-337.4166,1677.9636,1.2011
0.4180,2.9260,-340.0383,1701.6894,1.1998
0.4190,2.9330,-342.6772,1725.7498,1.1986
0.4200,2.9400,-345.3334,1750.1493,1.1973
0.4210,2.9470,-348.0070,1774.8929,1.1961
0.4220,2.9540,-350.6980,1799.9853,1.1948
0.4230,2.9610,-353.4066,1825.4315,1.1936
0.4240,2.9680,-356.1329,1851.2364,1.1924
0.4250,2.9750,-358.8769,1877.4051,1.1912
0.4260,2.9820,-361.6388,1903.9428,1.1899
0.4270,2.9890,-364.4187,1930.8546,1.1887
0.4280,2.9960,-367.2165,1958.1458,1.1875
0.4290,3.0030,-370.0326,1985.8218,1.1863
0.4300,3.0100,-372.8669,2013.8880,1.1851
0.4310,3.0170,-375.7195,2042.3499,1.1840
0.4320,3.0240,-378.5906,2071.2130,1.1828
0.4330,3.0310,-381.4802,2100.4831,1.1816
0.4340,3.0380,-384.3885,2130.1658,1.1805
0.4350,3.0450,-387.3155,2160.2670,1.1793
0.4360,3.0520,-390.2613,2190.7926,1.1781
0.4370,3.0590,-393.2261,2221.7486,1.1770
0.4380,3.0660,-396.2100,2253.1409,1.1758
0.4390,3.0730,-399.2129,2284.9759,1.1747
0.4400,3.0800,-402.2352,2317.2597,1.1736
0.4410,3.0870,-405.2768,2349.9987,1.1725
0.4420,3.0940,-408.3378,2383.1992,1.1713
0.4430,3.1010,-411.4184,2416.8678,1.1702
0.4440,3.1080,-414.5187,2451.0110,1.1691
0.4450,3.1150,-417.6387,2485.6356,1.1680
0.4460,3.1220,-420.7786,2520.7484,1.1669
0.4470,3.1290,-423.9385,2556.3563,1.1658
0.4480,3.1360,-427.1185,2592.4661,1.1648
0.4490,3.1430,-430.3186,2629.0850,1.1637
0.4500,3.1500,-433.5391,2666.2202,1.1626
0.4510,2.7060,-227.3163,1094.2040,1.2077
0.4520,2.7120,-228.7853,1107.4727,1.2066
0.4530,2.7180,-230.2620,1120.9017,1.2054
0.4540,2.7240,-231.7465,1134.4927,1.2043
0.4550,2.7300,-233.2388,1148.2479,1.2031
0.4560,2.7360,-234.7389,1162.1691,1.2020
0.4570,2.7420,-236.2469,1176.2583,1.2008
0.4580,2.7480,-237.7627,1190.5177,1.1997
0.4590,2.7540,-239.2865,1204.9491,1.1986
0.4600,2.7600,-240.8183,1219.5549,1.1975
0.4610,2.7660,-242.3581,1234.3369,1.1963
0.4620,2.7720,-243.9059,1249.2974,1.1952
0.4630,2.7780,-245.4618,1264.4385,1.1941
0.4640,2.7840,-247.0258,1279.7624,1.1930
0.4650,2.7900,-248.5979,1295.2712,1.1919
0.4660,2.7960,-250.1781,1310.9673,1.1908
0.4670,2.8020,-251.7666,1326.8529,1.1897
0.4680,2.8080,-253.3633,1342.9303,1.1887
0.4690,2.8140,-254.9683,1359.2017,1.1876
0.4700,2.8200,-256.5816,1375.6696,1.1865
0.4710,2.8260,-258.2032,1392.3363,1.1854
0.4720,2.8320,-259.8332,1409.2042,1.1844
0.4730,2.8380,-261.4716,1426.2758,1.1833
0.4740,2.8440,-263.1184,1443.5534,1.1823
0.4750,2.8500,-264.7737,1461.0396,1.1812
0.4760,2.8560,-266.4375,1478.7369,1.1802
0.4770,2.8620,-268.1099,1496.6479,1.1791
0.4780,2.8680,-269.7909,1514.7750,1.1781
0.4790,2.8740,-271.4804,1533.1211,1.1771
0.4800,2.8800,-273.1786,1551.6886,1.1761
0.4810,2.8860,-274.8855,1570.4802,1.1750
0.4820,2.8920,-276.6012,1589.4987,1.1740
0.4830,2.8980,-278.3255,1608.7468,1.1730
0.4840,2.9040,-280.0587,1628.2273,1.1720
0.4850,2.9100,-281.8007,1647.9429,1.1710
0.4860,2.9160,-283.5516,1667.8966,1.1700
0.4870,2.9220,-285.3114,1688.0911,1.1690
0.4880,2.9280,-287.0801,1708.5295,1.1680
0.4890,2.9340,-288.8578,1729.2145,1.1670
0.4900,2.9400,-290.6444,1750.1493,1.1661
0.4910,2.9460,-292.4402,1771.3369,1.1651
0.4920,2.9520,-294.2450,1792.7802,1.1641
0.4930,2.9580,-296.0589,1814.4823,1.1632
0.4940,2.9640,-297.8820,1836.4465,1.1622
0.4950,2.9700,-299.7143,1858.6758,1.1613
0.4960,2.9760,-301.5559,1881.1735,1.1603
0.4970,2.9820,-303.4067,1903.9428,1.1594
0.4980,2.9880,-305.2667,1926.9870,1.1584
0.4990,2.9940,-307.1362,1950.3093,1.1575
0.5000,3.0000,-309.0150,1973.9132,1.1565
0.5010,3.0060,-310.9032,1997.8021,1.1556
0.5020,3.0120,-312.8009,2021.9794,1.1547
0.5030,3.0180,-314.7081,2046.4485,1.1538
0.5040,3.0240,-316.6248,2071.2130,1.1529
0.5050,3.0300,-318.5511,2096.2765,1.1520
0.5060,3.0360,-320.4870,2121.6426,1.1511
0.5070,3.0420,-322.4325,2147.3149,1.1502
0.5080,3.0480,-324.3878,2173.2971,1.1493
0.5090,3.0540,-326.3527,2199.5930,1.1484
0.5100,3.0600,-328.3274,2226.2063,1.1475
0.5110,3.0660,-330.3119,2253.1409,1.1466
0.5120,3.0720,-332.3063,2280.4007,1.1457
0.5130,3.0780,-334.3105,2307.9896,1.1448
0.5140,3.0840,-336.3246,2335.9115,1.1440
0.5150,3.0900,-338.3487,2364.1705,1.1431
0.5160,3.0960,-340.3828,2392.7707,1.1423
0.5170,3.1020,-342.4269,2421.7161,1.1414
0.5180,3.1080,-344.4811,2451.0110,1.1405
0.5190,3.1140,-346.5454,2480.6595,1.1397
0.5200,3.1200,-348.6199,2510.6660,1.1389
0.5210,3.1260,-350.7046,2541.0347,1.1380
